1	11.871616300000001
2	11.844063199999999
3	11.8691407
4	11.946848800000001
5	12.0771875
6	12.2601568
7	12.495756700000001
8	12.783987200000002
9	13.1248483
1	11.871616300000001
11	13.964462300000001
12	14.4632152
13	15.0145987
14	15.618612800000001
15	16.2752575
16	16.9845328
17	17.7464387
18	18.5609752
19	19.428142299999998
20	20.34794
21	21.3203683
22	22.3454272
23	23.4231167
24	24.5534368
25	25.736387500000003
26	26.9719688
27	28.2601807
28	29.6010232
29	30.9944963
30	32.4406
31	33.9393343
32	35.4906992
33	37.0946947
34	38.7513208
35	40.4605775
36	42.2224648
37	44.036982699999996
38	45.904131199999995
39	47.8239103
40	49.79632
41	51.8213603
42	53.8990312
43	56.0293327
44	58.2122648
45	60.4478275
46	62.7360208
